Psalm,Type,Versus,Book
3,Lament,9,1
7,Lament,18,1
13,Lament,6,1
22,Lament,32,1
28,Lament,9,1
53,Lament,7,2
56,Lament,14,2
77,Lament,21,3
90,Lament,17,4
120,Lament,7,5
143,Lament,12,5
5,Lament,13,1
10,Lament,18,1
14,Lament,7,1
25,Lament,22,1
31,Lament,25,1
54,Lament,9,2
60,Lament,14,2
82,Lament,8,3
94,Lament,23,4
130,Lament,8,5
6,Lament,11,1
12,Lament,9,1
17,Lament,15,1
26,Lament,11,1
44,Lament,27,2
55,Lament,24,2
69,Lament,37,2
86,Lament,17,3
106,Lament,48,4
141,Lament,10,5
8,Praise,10,1
24,Praise,10,1
33,Praise,22,1
40,Praise,18,1
54,Praise,9,2
65,Praise,14,2
75,Praise,11,3
87,Praise,7,3
95,Praise,11,4
101,Praise,8,4
105,Praise,45,4
108,Praise,14,5
112,Praise,10,5
118,Praise,29,5
133,Praise,3,5
139,Praise,24,5
9,Praise,21,1
27,Praise,14,1
34,Praise,23,1
46,Praise,12,2
57,Praise,12,2
66,Praise,20,2
76,Praise,13,3
91,Praise,16,4
98,Praise,9,4
103,Praise,22,4
106,Praise,48,4
110,Praise,7,5
116,Praise,19,5
124,Praise,8,5
135,Praise,21,5
145,Praise,21,5
19,Praise,15,1
30,Praise,13,1
36,Praise,13,1
48,Praise,15,2
61,Praise,9,2
67,Praise,8,2
81,Praise,17,3
92,Praise,16,4
100,Praise,5,4
104,Praise,35,4
107,Praise,43,5
111,Praise,10,5
117,Praise,2,5
128,Praise,6,5
136,Praise,26,5
150,Praise,6,5
4,Trust,9,1
23,Trust,6,1
91,Trust,16,4
131,Trust,3,5
11,Trust,7,1
46,Trust,12,2
115,Trust,18,5
16,Trust,11,1
62,Trust,13,2
125,Trust,5,5
29,Hymn,11,1
98,Hymn,9,4
104,Hymn,35,4
113,Hymn,9,5
121,Hymn,8,5
149,Hymn,9,5
95,Hymn,11,4
99,Hymn,9,4
111,Hymn,10,5
114,Hymn,8,5
136,Hymn,26,5
97,Hymn,12,4
103,Hymn,22,4
112,Hymn,10,5
117,Hymn,2,5
147,Hymn,20,5
2,Royal,12,1
21,Royal,14,1
89,Royal,53,4
144,Royal,15,5
18,Royal,51,1
45,Royal,18,2
101,Royal,8,4
20,Royal,10,1
72,Royal,20,2
132,Royal,18,5
37,Wisdom,40,1
119,Wisdom,176,5
49,Wisdom,21,2
127,Wisdom,5,5
52,Wisdom,11,2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
